,empo_1,empo_2,empo_3
10233,Free-living,Saline,Sediment (saline)
10234,Host-associated,Plant,Plant surface
10235,Free-living,Non-saline,Soil (non-saline)
10236,Host-associated,Animal,Animal proximal gut
10237,Free-living,Non-saline,Soil (non-saline)
10238,Free-living,Non-saline,Sediment (non-saline)
10239,Host-associated,Animal,Animal surface
10240,Host-associated,Animal,Animal distal gut
10241,Host-associated,Animal,Animal surface
10242,Free-living,Non-saline,Surface (non-saline)
10243,Free-living,Non-saline,Water (non-saline)
10244,Host-associated,Plant,Plant surface
10245,Free-living,Saline,Sediment (saline)
10246,Free-living,Non-saline,Soil (non-saline)
10247,Free-living,Non-saline,Water (non-saline)
10248,Free-living,Non-saline,Soil (non-saline)
10249,Free-living,Non-saline,Sediment (non-saline)
10250,Host-associated,Animal,Animal surface
10251,Host-associated,Animal,Animal distal gut
10252,Host-associated,Plant,Plant surface
10253,Free-living,Non-saline,Soil (non-saline)
10254,Free-living,Non-saline,Water (non-saline)
10255,Host-associated,Animal,Animal distal gut
10256,Free-living,Non-saline,Soil (non-saline)
10257,Host-associated,Animal,Animal distal gut
10258,Host-associated,Animal,Animal surface
10259,Free-living,Non-saline,Water (non-saline)
10260,Host-associated,Animal,Animal surface
10261,Host-associated,Animal,Animal surface
10262,Host-associated,Animal,Animal surface
10263,Host-associated,Animal,Animal distal gut
10264,Host-associated,Animal,Animal secretion
10265,Free-living,Non-saline,Water (non-saline)
10266,Free-living,Non-saline,Soil (non-saline)
10267,Host-associated,Animal,Animal secretion
10268,Free-living,Saline,Sediment (saline)
10269,Free-living,Non-saline,Water (non-saline)
10270,Free-living,Non-saline,Surface (non-saline)
10271,Host-associated,Animal,Animal distal gut
10272,Host-associated,Animal,Animal surface
10273,Free-living,Non-saline,Surface (non-saline)
10274,Free-living,Non-saline,Water (non-saline)
10275,Host-associated,Animal,Animal surface
10276,Host-associated,Plant,Plant surface
10277,Host-associated,Animal,Animal distal gut
10278,Host-associated,Animal,Animal distal gut
10279,Free-living,Non-saline,Surface (non-saline)
10280,Host-associated,Animal,Animal secretion
10281,Host-associated,Plant,Plant rhizosphere
10282,Host-associated,Animal,Animal distal gut
10283,Host-associated,Plant,Plant rhizosphere
10284,Free-living,Non-saline,Water (non-saline)
10285,Free-living,Non-saline,Soil (non-saline)
10286,Free-living,Non-saline,Surface (non-saline)
10287,Host-associated,Animal,Animal distal gut
10288,Host-associated,Animal,Animal surface
10289,Free-living,Non-saline,Soil (non-saline)
10290,Host-associated,Animal,Animal surface
10291,Host-associated,Animal,Animal surface
10292,Host-associated,Animal,Animal surface
10293,Free-living,Non-saline,Water (non-saline)
10294,Free-living,Non-saline,Water (non-saline)
10295,Host-associated,Animal,Animal secretion
10296,Free-living,Non-saline,Water (non-saline)
10297,Host-associated,Animal,Animal surface
10298,Host-associated,Plant,Plant rhizosphere
10299,Free-living,Non-saline,Water (non-saline)
10300,Host-associated,Plant,Plant surface
10301,Free-living,Non-saline,Water (non-saline)
10302,Free-living,Non-saline,Water (non-saline)
10303,Free-living,Non-saline,Water (non-saline)
10304,Free-living,Non-saline,Soil (non-saline)
10305,Free-living,Non-saline,Water (non-saline)
10306,Host-associated,Animal,Animal distal gut
10307,Free-living,Non-saline,Soil (non-saline)
10308,Host-associated,Animal,Animal surface
10309,Host-associated,Animal,Animal distal gut
10310,Host-associated,Animal,Animal surface
10311,Host-associated,Animal,Animal proximal gut
10312,Free-living,Non-saline,Soil (non-saline)
10313,Free-living,Non-saline,Soil (non-saline)
10314,Free-living,Non-saline,Water (non-saline)
10315,Free-living,Non-saline,Water (non-saline)
10316,Free-living,Non-saline,Water (non-saline)
10317,Free-living,Non-saline,Soil (non-saline)
10318,Free-living,Non-saline,Water (non-saline)
10319,Free-living,Saline,Sediment (saline)
10320,Free-living,Non-saline,Sediment (non-saline)
10321,Free-living,Non-saline,Water (non-saline)
10322,Host-associated,Animal,Animal surface
10323,Free-living,Saline,Sediment (saline)
10324,Free-living,Non-saline,Soil (non-saline)
10325,Free-living,Non-saline,Soil (non-saline)
10326,Host-associated,Plant,Plant corpus
10327,Host-associated,Animal,Animal distal gut
10328,Host-associated,Animal,Animal distal gut
10329,Free-living,Non-saline,Water (non-saline)
10330,Free-living,Non-saline,Water (non-saline)
10331,Free-living,Non-saline,Soil (non-saline)
10332,Host-associated,Animal,Animal surface
10333,Free-living,Non-saline,Water (non-saline)
10334,Free-living,Non-saline,Soil (non-saline)
10335,Host-associated,Animal,Animal proximal gut
10336,Host-associated,Plant,Plant surface
10337,Free-living,Non-saline,Water (non-saline)
10338,Host-associated,Animal,Animal surface
10339,Host-associated,Animal,Animal secretion
10340,Free-living,Non-saline,Soil (non-saline)
10341,Host-associated,Animal,Animal surface
10342,Free-living,Non-saline,Water (non-saline)
10343,Free-living,Saline,Water (saline)
10344,Free-living,Saline,Water (saline)
10345,Free-living,Non-saline,Soil (non-saline)
10346,Host-associated,Animal,Animal distal gut
10347,Free-living,Non-saline,Soil (non-saline)
10348,Host-associated,Animal,Animal surface
10349,Host-associated,Animal,Animal distal gut
10350,Free-living,Saline,Surface (saline)
10351,Free-living,Non-saline,Soil (non-saline)
10352,Free-living,Saline,Sediment (saline)
10353,Host-associated,Animal,Animal surface
10354,Host-associated,Animal,Animal distal gut
10355,Host-associated,Animal,Animal distal gut
10356,Free-living,Non-saline,Water (non-saline)
10357,Free-living,Non-saline,Surface (non-saline)
10358,Host-associated,Animal,Animal surface
10359,Free-living,Saline,Sediment (saline)
10360,Free-living,Non-saline,Soil (non-saline)
10361,Free-living,Non-saline,Soil (non-saline)
10362,Host-associated,Animal,Animal distal gut
10363,Free-living,Non-saline,Water (non-saline)
10364,Host-associated,Animal,Animal secretion
10365,Host-associated,Animal,Animal distal gut
10366,Host-associated,Animal,Animal surface
10367,Host-associated,Animal,Animal distal gut
10368,Free-living,Non-saline,Soil (non-saline)
10369,Free-living,Saline,Water (saline)
10370,Host-associated,Plant,Plant surface
10371,Host-associated,Plant,Plant rhizosphere
10372,Host-associated,Animal,Animal surface
10373,Free-living,Non-saline,Soil (non-saline)
10374,Host-associated,Animal,Animal distal gut
10375,Host-associated,Plant,Plant surface
10376,Host-associated,Animal,Animal surface
10377,Free-living,Non-saline,Soil (non-saline)
10378,Host-associated,Plant,Plant surface
10379,Free-living,Non-saline,Soil (non-saline)
10380,Free-living,Non-saline,Soil (non-saline)
10381,Host-associated,Plant,Plant surface
10382,Free-living,Non-saline,Surface (non-saline)
10383,Free-living,Non-saline,Surface (non-saline)
10384,Host-associated,Plant,Plant surface
10385,Free-living,Non-saline,Surface (non-saline)
10386,Free-living,Non-saline,Water (non-saline)
10387,Host-associated,Animal,Animal distal gut
10388,Free-living,Non-saline,Soil (non-saline)
10389,Free-living,Non-saline,Water (non-saline)
10390,Host-associated,Animal,Animal distal gut
10391,Host-associated,Animal,Animal secretion
10392,Free-living,Non-saline,Soil (non-saline)
10393,Host-associated,Animal,Animal surface
10394,Free-living,Non-saline,Water (non-saline)
10395,Free-living,Saline,Surface (saline)
10396,Host-associated,Animal,Animal surface
10397,Host-associated,Animal,Animal distal gut
10398,Free-living,Non-saline,Surface (non-saline)
10399,Free-living,Non-saline,Surface (non-saline)
10400,Host-associated,Animal,Animal distal gut
10401,Host-associated,Animal,Animal secretion
10402,Host-associated,Animal,Animal surface
10403,Host-associated,Animal,Animal distal gut
10404,Free-living,Non-saline,Water (non-saline)
10405,Host-associated,Animal,Animal proximal gut
10406,Free-living,Non-saline,Soil (non-saline)
10407,Host-associated,Animal,Animal distal gut
10408,Free-living,Non-saline,Soil (non-saline)
10409,Host-associated,Animal,Animal surface
10410,Host-associated,Animal,Animal distal gut
10411,Free-living,Non-saline,Soil (non-saline)
10412,Host-associated,Animal,Animal distal gut
10413,Free-living,Non-saline,Soil (non-saline)
10414,Host-associated,Animal,Animal secretion
10415,Free-living,Non-saline,Soil (non-saline)
10416,Host-associated,Animal,Animal surface
10417,Free-living,Non-saline,Surface (non-saline)
10418,Host-associated,Animal,Animal surface
10419,Host-associated,Animal,Animal surface
10420,Free-living,Non-saline,Soil (non-saline)
10421,Host-associated,Plant,Plant surface
10422,Host-associated,Plant,Plant rhizosphere
10423,Host-associated,Animal,Animal distal gut
10424,Host-associated,Animal,Animal secretion
10425,Free-living,Non-saline,Soil (non-saline)
10426,Host-associated,Animal,Animal distal gut
10427,Free-living,Non-saline,Soil (non-saline)
10428,Free-living,Non-saline,Water (non-saline)
10429,Host-associated,Animal,Animal surface
10430,Free-living,Non-saline,Soil (non-saline)
10431,Free-living,Non-saline,Soil (non-saline)
10432,Free-living,Non-saline,Water (non-saline)
10433,Free-living,Saline,Water (saline)
10434,Host-associated,Animal,Animal distal gut
10435,Host-associated,Animal,Animal distal gut
10436,Host-associated,Animal,Animal surface
10437,Free-living,Non-saline,Water (non-saline)
10438,Free-living,Saline,Sediment (saline)
10439,Free-living,Non-saline,Water (non-saline)
10440,Free-living,Non-saline,Soil (non-saline)
10441,Free-living,Non-saline,Water (non-saline)
10442,Host-associated,Plant,Plant surface
10443,Host-associated,Animal,Animal distal gut
10444,Host-associated,Plant,Plant surface
10445,Host-associated,Animal,Animal surface
10446,Host-associated,Animal,Animal distal gut
10447,Host-associated,Animal,Animal distal gut
10448,Free-living,Non-saline,Water (non-saline)
10449,Host-associated,Animal,Animal distal gut
10450,Host-associated,Animal,Animal distal gut
10451,Host-associated,Plant,Plant corpus
10452,Host-associated,Animal,Animal distal gut
10453,Host-associated,Animal,Animal surface
10454,Free-living,Non-saline,Soil (non-saline)
10455,Free-living,Non-saline,Sediment (non-saline)
10456,Free-living,Non-saline,Water (non-saline)
10457,Free-living,Non-saline,Soil (non-saline)
10458,Host-associated,Animal,Animal distal gut
10459,Host-associated,Animal,Animal distal gut
10460,Host-associated,Plant,Plant corpus
10461,Free-living,Non-saline,Soil (non-saline)
10462,Host-associated,Animal,Animal surface
10463,Host-associated,Animal,Animal distal gut
10464,Host-associated,Animal,Animal distal gut
10465,Free-living,Non-saline,Water (non-saline)
10466,Host-associated,Plant,Plant surface
10467,Free-living,Non-saline,Water (non-saline)
10468,Free-living,Non-saline,Water (non-saline)
10469,Free-living,Non-saline,Water (non-saline)
10470,Host-associated,Animal,Animal distal gut
10471,Free-living,Non-saline,Water (non-saline)
10472,Host-associated,Animal,Animal surface
10473,Free-living,Non-saline,Water (non-saline)
10474,Free-living,Non-saline,Soil (non-saline)
10475,Free-living,Non-saline,Water (non-saline)
10476,Host-associated,Animal,Animal distal gut
10477,Host-associated,Animal,Animal secretion
10478,Host-associated,Animal,Animal surface
10479,Host-associated,Animal,Animal distal gut
10480,Free-living,Saline,Surface (saline)
10481,Free-living,Saline,Water (saline)
10482,Free-living,Non-saline,Surface (non-saline)
10483,Host-associated,Plant,Plant surface
10484,Free-living,Non-saline,Water (non-saline)
10485,Free-living,Non-saline,Water (non-saline)
10486,Host-associated,Plant,Plant rhizosphere
10487,Free-living,Non-saline,Soil (non-saline)
10488,Free-living,Non-saline,Water (non-saline)
10489,Host-associated,Plant,Plant surface
10490,Free-living,Non-saline,Surface (non-saline)
10491,Free-living,Non-saline,Water (non-saline)
10492,Host-associated,Animal,Animal distal gut
10493,Free-living,Non-saline,Water (non-saline)
10494,Free-living,Non-saline,Water (non-saline)
10495,Free-living,Saline,Water (saline)
10496,Host-associated,Animal,Animal surface
10497,Free-living,Non-saline,Soil (non-saline)
10498,Free-living,Non-saline,Water (non-saline)
10499,Host-associated,Animal,Animal surface
10500,Free-living,Non-saline,Water (non-saline)
10501,Host-associated,Animal,Animal surface
10502,Free-living,Non-saline,Water (non-saline)
10503,Host-associated,Animal,Animal secretion
10504,Free-living,Non-saline,Water (non-saline)
10505,Host-associated,Animal,Animal surface
10506,Host-associated,Animal,Animal surface
10507,Free-living,Non-saline,Soil (non-saline)
10508,Host-associated,Plant,Plant surface
10509,Free-living,Non-saline,Water (non-saline)
10510,Free-living,Saline,Water (saline)
10511,Host-associated,Animal,Animal distal gut
10512,Host-associated,Animal,Animal surface
10513,Free-living,Non-saline,Sediment (non-saline)
10514,Host-associated,Animal,Animal surface
10515,Free-living,Non-saline,Soil (non-saline)
10516,Host-associated,Animal,Animal distal gut
10517,Free-living,Non-saline,Sediment (non-saline)
10518,Free-living,Non-saline,Surface (non-saline)
10519,Free-living,Non-saline,Water (non-saline)
10520,Host-associated,Animal,Animal surface
10521,Host-associated,Plant,Plant surface
10522,Host-associated,Animal,Animal distal gut
10523,Host-associated,Animal,Animal surface
10524,Free-living,Non-saline,Water (non-saline)
10525,Free-living,Non-saline,Soil (non-saline)
10526,Free-living,Saline,Water (saline)
10527,Host-associated,Animal,Animal distal gut
10528,Host-associated,Animal,Animal surface
10529,Host-associated,Animal,Animal distal gut
10530,Free-living,Non-saline,Water (non-saline)
10531,Host-associated,Plant,Plant surface
10532,Host-associated,Animal,Animal distal gut
10533,Host-associated,Animal,Animal corpus
10534,Free-living,Non-saline,Soil (non-saline)
10535,Host-associated,Animal,Animal distal gut
10536,Host-associated,Animal,Animal surface
10537,Host-associated,Animal,Animal distal gut
10538,Host-associated,Animal,Animal secretion
10539,Host-associated,Animal,Animal distal gut
10540,Host-associated,Animal,Animal surface
10541,Host-associated,Animal,Animal surface
10542,Host-associated,Animal,Animal distal gut
10543,Free-living,Non-saline,Soil (non-saline)
10544,Free-living,Non-saline,Water (non-saline)
10545,Host-associated,Animal,Animal distal gut
10546,Host-associated,Animal,Animal surface
10547,Free-living,Non-saline,Water (non-saline)
10548,Host-associated,Animal,Animal distal gut
10549,Free-living,Non-saline,Water (non-saline)
10550,Host-associated,Animal,Animal surface
10551,Host-associated,Animal,Animal distal gut
10552,Host-associated,Animal,Animal distal gut
10553,Host-associated,Animal,Animal surface
10554,Host-associated,Animal,Animal surface
10555,Host-associated,Animal,Animal surface
10556,Host-associated,Animal,Animal surface
10557,Host-associated,Plant,Plant rhizosphere
10558,Host-associated,Animal,Animal surface
10559,Host-associated,Plant,Plant surface
10560,Free-living,Non-saline,Soil (non-saline)
10561,Host-associated,Animal,Animal surface
10562,Host-associated,Animal,Animal distal gut
10563,Free-living,Non-saline,Water (non-saline)
10564,Host-associated,Animal,Animal distal gut
10565,Free-living,Non-saline,Water (non-saline)
10566,Host-associated,Animal,Animal distal gut
10567,Free-living,Non-saline,Water (non-saline)
10568,Host-associated,Animal,Animal secretion
10569,Free-living,Non-saline,Water (non-saline)
10570,Free-living,Non-saline,Soil (non-saline)
10571,Host-associated,Animal,Animal secretion
10572,Host-associated,Animal,Animal distal gut
10573,Host-associated,Animal,Animal surface
10574,Free-living,Non-saline,Soil (non-saline)
10575,Host-associated,Animal,Animal distal gut
10576,Free-living,Non-saline,Water (non-saline)
10577,Free-living,Non-saline,Water (non-saline)
10578,Host-associated,Animal,Animal distal gut
10579,Free-living,Non-saline,Water (non-saline)
10580,Host-associated,Animal,Animal surface
10581,Host-associated,Animal,Animal distal gut
10582,Host-associated,Animal,Animal surface
10583,Host-associated,Animal,Animal surface
10584,Free-living,Non-saline,Water (non-saline)
10585,Free-living,Saline,Surface (saline)
10586,Host-associated,Animal,Animal surface
10587,Free-living,Non-saline,Water (non-saline)
10588,Host-associated,Animal,Animal surface
10589,Free-living,Non-saline,Soil (non-saline)
10590,Host-associated,Animal,Animal proximal gut
10591,Host-associated,Animal,Animal distal gut
10592,Host-associated,Animal,Animal surface
10593,Host-associated,Animal,Animal secretion
10594,Host-associated,Animal,Animal distal gut
10595,Free-living,Non-saline,Water (non-saline)
10596,Free-living,Non-saline,Soil (non-saline)
10597,Free-living,Saline,Water (saline)
10598,Free-living,Non-saline,Water (non-saline)
10599,Free-living,Non-saline,Water (non-saline)
10600,Host-associated,Animal,Animal surface
10601,Free-living,Non-saline,Sediment (non-saline)
10602,Free-living,Non-saline,Water (non-saline)
10603,Free-living,Non-saline,Water (non-saline)
10604,Free-living,Saline,Water (saline)
10605,Free-living,Non-saline,Soil (non-saline)
10606,Free-living,Non-saline,Water (non-saline)
10607,Host-associated,Animal,Animal distal gut
10608,Host-associated,Animal,Animal distal gut
10609,Free-living,Non-saline,Sediment (non-saline)
10610,Host-associated,Animal,Animal secretion
10611,Free-living,Non-saline,Soil (non-saline)
10612,Host-associated,Animal,Animal secretion
10613,Free-living,Non-saline,Water (non-saline)
10614,Host-associated,Animal,Animal surface
10615,Host-associated,Plant,Plant rhizosphere
10616,Host-associated,Plant,Plant rhizosphere
10617,Free-living,Non-saline,Water (non-saline)
10618,Host-associated,Plant,Plant rhizosphere
10619,Host-associated,Animal,Animal distal gut
10620,Host-associated,Plant,Plant surface
10621,Host-associated,Animal,Animal secretion
10622,Free-living,Non-saline,Soil (non-saline)
10623,Host-associated,Animal,Animal distal gut
10624,Host-associated,Animal,Animal distal gut
10625,Free-living,Saline,Sediment (saline)
10626,Host-associated,Animal,Animal surface
10627,Host-associated,Animal,Animal distal gut
10628,Host-associated,Animal,Animal distal gut
10629,Free-living,Non-saline,Soil (non-saline)
10630,Host-associated,Animal,Animal surface
10631,Free-living,Non-saline,Water (non-saline)
10632,Free-living,Non-saline,Water (non-saline)
10633,Free-living,Non-saline,Sediment (non-saline)
10634,Host-associated,Animal,Animal secretion
10635,Free-living,Non-saline,Water (non-saline)
10636,Free-living,Non-saline,Water (non-saline)
10637,Host-associated,Animal,Animal distal gut
10638,Free-living,Non-saline,Water (non-saline)
10639,Free-living,Non-saline,Water (non-saline)
10640,Free-living,Non-saline,Soil (non-saline)
10641,Host-associated,Animal,Animal distal gut
10642,Host-associated,Animal,Animal distal gut
10643,Free-living,Non-saline,Water (non-saline)
10644,Host-associated,Animal,Animal distal gut
10645,Free-living,Non-saline,Water (non-saline)
10646,Free-living,Non-saline,Soil (non-saline)
10647,Free-living,Non-saline,Soil (non-saline)
10648,Host-associated,Animal,Animal distal gut
10649,Host-associated,Animal,Animal corpus
10650,Free-living,Non-saline,Water (non-saline)
10651,Host-associated,Animal,Animal distal gut
10652,Free-living,Saline,Sediment (saline)
10653,Free-living,Non-saline,Water (non-saline)
10654,Free-living,Non-saline,Soil (non-saline)
10655,Free-living,Non-saline,Surface (non-saline)
10656,Free-living,Saline,Sediment (saline)
10657,Free-living,Non-saline,Soil (non-saline)
10658,Host-associated,Animal,Animal distal gut
10659,Free-living,Non-saline,Soil (non-saline)
10660,Free-living,Non-saline,Water (non-saline)
10661,Free-living,Non-saline,Sediment (non-saline)
10662,Free-living,Non-saline,Soil (non-saline)
10663,Free-living,Non-saline,Soil (non-saline)
10664,Free-living,Non-saline,Water (non-saline)
10665,Host-associated,Animal,Animal surface
10666,Free-living,Non-saline,Water (non-saline)
10667,Host-associated,Animal,Animal distal gut
10668,Free-living,Non-saline,Water (non-saline)
10669,Free-living,Non-saline,Water (non-saline)
10670,Free-living,Non-saline,Soil (non-saline)
10671,Host-associated,Animal,Animal surface
10672,Free-living,Non-saline,Surface (non-saline)
10673,Host-associated,Animal,Animal surface
10674,Free-living,Non-saline,Surface (non-saline)
10675,Host-associated,Animal,Animal distal gut
10676,Host-associated,Animal,Animal secretion
10677,Free-living,Non-saline,Soil (non-saline)
10678,Free-living,Non-saline,Water (non-saline)
10679,Free-living,Non-saline,Surface (non-saline)
10680,Host-associated,Animal,Animal surface
10681,Host-associated,Animal,Animal secretion
10682,Host-associated,Animal,Animal distal gut
10683,Free-living,Non-saline,Soil (non-saline)
10684,Free-living,Non-saline,Soil (non-saline)
10685,Host-associated,Animal,Animal surface
10686,Free-living,Non-saline,Soil (non-saline)
10687,Free-living,Non-saline,Water (non-saline)
10688,Free-living,Non-saline,Soil (non-saline)
10689,Free-living,Saline,Water (saline)
10690,Host-associated,Plant,Plant surface
10691,Host-associated,Plant,Plant surface
10692,Host-associated,Animal,Animal distal gut
10693,Host-associated,Animal,Animal distal gut
10694,Host-associated,Plant,Plant surface
10695,Host-associated,Animal,Animal distal gut
10696,Host-associated,Animal,Animal surface
10697,Host-associated,Plant,Plant rhizosphere
10698,Free-living,Non-saline,Water (non-saline)
10699,Host-associated,Animal,Animal distal gut
10700,Free-living,Non-saline,Soil (non-saline)
10701,Host-associated,Animal,Animal distal gut
10702,Host-associated,Animal,Animal distal gut
10703,Free-living,Non-saline,Soil (non-saline)
10704,Host-associated,Animal,Animal distal gut
10705,Free-living,Non-saline,Sediment (non-saline)
10706,Host-associated,Plant,Plant rhizosphere
10707,Free-living,Non-saline,Soil (non-saline)
10708,Free-living,Non-saline,Surface (non-saline)
10709,Free-living,Non-saline,Surface (non-saline)
10710,Host-associated,Plant,Plant surface
10711,Host-associated,Animal,Animal surface
10712,Host-associated,Animal,Animal distal gut
10713,Free-living,Non-saline,Water (non-saline)
10714,Host-associated,Animal,Animal distal gut
10715,Free-living,Non-saline,Soil (non-saline)
10716,Host-associated,Animal,Animal surface
10717,Free-living,Saline,Surface (saline)
10718,Free-living,Non-saline,Soil (non-saline)
10719,Free-living,Non-saline,Water (non-saline)
10720,Host-associated,Animal,Animal distal gut
10721,Free-living,Non-saline,Water (non-saline)
10722,Host-associated,Animal,Animal secretion
10723,Host-associated,Animal,Animal surface
10724,Free-living,Saline,Sediment (saline)
10725,Free-living,Non-saline,Water (non-saline)
10726,Host-associated,Animal,Animal proximal gut
10727,Host-associated,Animal,Animal distal gut
10728,Free-living,Non-saline,Soil (non-saline)
10729,Free-living,Non-saline,Surface (non-saline)
10730,Host-associated,Animal,Animal distal gut
10731,Host-associated,Animal,Animal surface
10732,Free-living,Non-saline,Surface (non-saline)
10733,Free-living,Saline,Sediment (saline)
10734,Free-living,Non-saline,Water (non-saline)
10735,Host-associated,Animal,Animal surface
10736,Free-living,Saline,Sediment (saline)
10737,Free-living,Non-saline,Water (non-saline)
10738,Free-living,Non-saline,Water (non-saline)
10739,Host-associated,Animal,Animal distal gut
10740,Free-living,Non-saline,Water (non-saline)
10741,Host-associated,Plant,Plant surface
10742,Host-associated,Animal,Animal distal gut
10743,Free-living,Non-saline,Soil (non-saline)
10744,Free-living,Non-saline,Soil (non-saline)
10745,Free-living,Non-saline,Water (non-saline)
10746,Free-living,Non-saline,Water (non-saline)
10747,Host-associated,Animal,Animal surface
10748,Host-associated,Animal,Animal distal gut
10749,Host-associated,Animal,Animal surface
10750,Free-living,Non-saline,Soil (non-saline)
10751,Host-associated,Animal,Animal surface
10752,Free-living,Non-saline,Soil (non-saline)
10753,Host-associated,Animal,Animal proximal gut
10754,Host-associated,Animal,Animal distal gut
10755,Free-living,Non-saline,Soil (non-saline)
10756,Host-associated,Plant,Plant corpus
10757,Host-associated,Animal,Animal distal gut
10758,Host-associated,Animal,Animal surface
10759,Host-associated,Animal,Animal surface
10760,Free-living,Non-saline,Surface (non-saline)
10761,Free-living,Saline,Sediment (saline)
10762,Free-living,Non-saline,Water (non-saline)
10763,Host-associated,Animal,Animal corpus
10764,Free-living,Non-saline,Soil (non-saline)
10765,Host-associated,Animal,Animal distal gut
10766,Free-living,Non-saline,Soil (non-saline)
10767,Host-associated,Animal,Animal surface
10768,Free-living,Non-saline,Soil (non-saline)
10769,Free-living,Non-saline,Water (non-saline)
10770,Host-associated,Animal,Animal distal gut
10771,Host-associated,Animal,Animal distal gut
10772,Free-living,Non-saline,Surface (non-saline)
10773,Free-living,Non-saline,Soil (non-saline)
10774,Host-associated,Plant,Plant surface
10775,Host-associated,Plant,Plant rhizosphere
10776,Host-associated,Animal,Animal distal gut
10777,Host-associated,Animal,Animal distal gut
10778,Host-associated,Animal,Animal surface
10779,Host-associated,Animal,Animal surface
10780,Free-living,Non-saline,Water (non-saline)
10781,Free-living,Non-saline,Surface (non-saline)
10782,Free-living,Non-saline,Soil (non-saline)
10783,Free-living,Non-saline,Soil (non-saline)
10784,Free-living,Non-saline,Water (non-saline)
10785,Free-living,Non-saline,Water (non-saline)
10786,Host-associated,Animal,Animal distal gut
10787,Host-associated,Plant,Plant surface
10788,Free-living,Saline,Sediment (saline)
10789,Free-living,Saline,Sediment (saline)
10790,Free-living,Non-saline,Soil (non-saline)
10791,Free-living,Non-saline,Water (non-saline)
10792,Host-associated,Animal,Animal secretion
10793,Host-associated,Animal,Animal surface
10794,Host-associated,Animal,Animal distal gut
10795,Free-living,Non-saline,Surface (non-saline)
10796,Host-associated,Animal,Animal distal gut
10797,Free-living,Non-saline,Water (non-saline)
10798,Free-living,Non-saline,Water (non-saline)
10799,Host-associated,Animal,Animal distal gut
10800,Free-living,Non-saline,Water (non-saline)
10801,Host-associated,Plant,Plant rhizosphere
10802,Free-living,Non-saline,Water (non-saline)
10803,Free-living,Non-saline,Water (non-saline)
10804,Free-living,Non-saline,Soil (non-saline)
10805,Host-associated,Animal,Animal distal gut
10806,Free-living,Non-saline,Water (non-saline)
10807,Host-associated,Animal,Animal surface
10808,Host-associated,Plant,Plant surface
10809,Free-living,Non-saline,Water (non-saline)
10810,Host-associated,Animal,Animal surface
10811,Host-associated,Animal,Animal distal gut
10812,Free-living,Non-saline,Soil (non-saline)
10813,Host-associated,Animal,Animal surface
10814,Free-living,Non-saline,Water (non-saline)
10815,Host-associated,Plant,Plant rhizosphere
10816,Host-associated,Animal,Animal proximal gut
10817,Free-living,Non-saline,Water (non-saline)
10818,Free-living,Non-saline,Soil (non-saline)
10819,Free-living,Non-saline,Water (non-saline)
10820,Host-associated,Animal,Animal distal gut
10821,Host-associated,Animal,Animal distal gut
10822,Host-associated,Animal,Animal distal gut
10823,Free-living,Non-saline,Water (non-saline)
10824,Free-living,Non-saline,Water (non-saline)
10825,Host-associated,Animal,Animal distal gut
10826,Free-living,Non-saline,Soil (non-saline)
10827,Free-living,Non-saline,Water (non-saline)
10828,Free-living,Non-saline,Water (non-saline)
10829,Free-living,Non-saline,Water (non-saline)
10830,Host-associated,Animal,Animal proximal gut
10831,Host-associated,Animal,Animal surface
10832,Host-associated,Plant,Plant surface
10833,Free-living,Non-saline,Water (non-saline)
10834,Host-associated,Animal,Animal distal gut
10835,Host-associated,Animal,Animal surface
10836,Free-living,Non-saline,Soil (non-saline)
10837,Free-living,Non-saline,Sediment (non-saline)
10838,Host-associated,Animal,Animal surface
10839,Host-associated,Animal,Animal distal gut
10840,Free-living,Non-saline,Soil (non-saline)
10841,Host-associated,Animal,Animal secretion
10842,Host-associated,Animal,Animal distal gut
10843,Free-living,Non-saline,Water (non-saline)
10844,Host-associated,Plant,Plant rhizosphere
10845,Host-associated,Animal,Animal surface
10846,Free-living,Non-saline,Soil (non-saline)
10847,Free-living,Non-saline,Water (non-saline)
10848,Free-living,Non-saline,Water (non-saline)
10849,Free-living,Saline,Sediment (saline)
10850,Free-living,Non-saline,Water (non-saline)
10851,Free-living,Non-saline,Surface (non-saline)
10852,Free-living,Non-saline,Soil (non-saline)
10853,Free-living,Non-saline,Water (non-saline)
10854,Free-living,Non-saline,Water (non-saline)
10855,Host-associated,Animal,Animal corpus
10856,Host-associated,Animal,Animal distal gut
10857,Free-living,Non-saline,Soil (non-saline)
10858,Free-living,Non-saline,Water (non-saline)
10859,Free-living,Non-saline,Soil (non-saline)
10860,Free-living,Non-saline,Soil (non-saline)
10861,Host-associated,Animal,Animal distal gut
10862,Host-associated,Animal,Animal surface
10863,Host-associated,Animal,Animal corpus
10864,Free-living,Non-saline,Soil (non-saline)
10865,Free-living,Non-saline,Water (non-saline)
10866,Host-associated,Plant,Plant surface
10867,Host-associated,Animal,Animal surface
10868,Host-associated,Animal,Animal corpus
10869,Free-living,Non-saline,Soil (non-saline)
10870,Free-living,Saline,Sediment (saline)
10871,Host-associated,Plant,Plant surface
10872,Free-living,Non-saline,Soil (non-saline)
10873,Free-living,Saline,Water (saline)
10874,Free-living,Non-saline,Soil (non-saline)
10875,Free-living,Non-saline,Soil (non-saline)
10876,Free-living,Non-saline,Soil (non-saline)
